Stat	Net	Cha	Lo	Start time	End time	Lat	Lon	Elev
ME28	XQ	BHZ	01	2007/07/20,00:00:00	2009/12/31,00:00:00	40.327	-122.471001	222.0
ME29	XQ	BHE	01	2007/09/21,00:00:00	2009/12/31,00:00:00	41.141998	-123.1408	725.0
ME29	XQ	BHN	01	2007/09/21,00:00:00	2009/12/31,00:00:00	41.141998	-123.1408	725.0
ME29	XQ	BHZ	01	2007/09/21,00:00:00	2009/12/31,00:00:00	41.141998	-123.1408	725.0
ME30	XQ	BHE	01	2007/07/23,00:00:00	2009/12/31,00:00:00	40.842999	-123.565002	237.0
ME30	XQ	BHN	01	2007/07/23,00:00:00	2009/12/31,00:00:00	40.842999	-123.565002	237.0
ME30	XQ	BHZ	01	2007/07/23,00:00:00	2009/12/31,00:00:00	40.842999	-123.565002	237.0
ME31	XQ	BHE	01	2007/07/29,00:00:00	2009/12/31,00:00:00	40.722	-123.946999	820.0
ME31	XQ	BHN	01	2007/07/29,00:00:00	2009/12/31,00:00:00	40.722	-123.946999	820.0
ME31	XQ	BHZ	01	2007/07/29,00:00:00	2009/12/31,00:00:00	40.722	-123.946999	820.0
ME32	XQ	BHE	01	2007/09/25,00:00:00	2009/12/31,00:00:00	40.590698	-123.859001	711.0
ME32	XQ	BHN	01	2007/09/25,00:00:00	2009/12/31,00:00:00	40.590698	-123.859001	711.0
ME32	XQ	BHZ	01	2007/09/25,00:00:00	2009/12/31,00:00:00	40.590698	-123.859001	711.0
ME33	XQ	BHE	01	2007/07/29,00:00:00	2009/12/31,00:00:00	40.483002	-123.802002	367.0
ME33	XQ	BHN	01	2007/07/29,00:00:00	2009/12/31,00:00:00	40.483002	-123.802002	367.0
ME33	XQ	BHZ	01	2007/07/29,00:00:00	2009/12/31,00:00:00	40.483002	-123.802002	367.0
ME34	XQ	BHE	01	2007/09/18,00:00:00	2009/12/31,00:00:00	40.483002	-124.126999	244.0
ME34	XQ	BHN	01	2007/09/18,00:00:00	2009/12/31,00:00:00	40.483002	-124.126999	244.0
ME34	XQ	BHZ	01	2007/09/18,00:00:00	2009/12/31,00:00:00	40.483002	-124.126999	244.0
ME35	XQ	BHE	01	2007/07/27,00:00:00	2009/12/31,00:00:00	40.483002	-123.748001	369.0
ME35	XQ	BHN	01	2007/07/27,00:00:00	2009/12/31,00:00:00	40.483002	-123.748001	369.0
ME35	XQ	BHZ	01	2007/07/27,00:00:00	2009/12/31,00:00:00	40.483002	-123.748001	369.0
ME36	XQ	BHE	01	2007/09/22,00:00:00	2009/12/31,00:00:00	40.248199	-124.163803	73.0
ME36	XQ	BHN	01	2007/09/22,00:00:00	2009/12/31,00:00:00	40.248199	-124.163803	73.0
ME36	XQ	BHZ	01	2007/09/22,00:00:00	2009/12/31,00:00:00	40.248199	-124.163803	73.0
ME37	XQ	BHE	01	2007/07/27,00:00:00	2009/12/31,00:00:00	40.285	-123.653999	501.0
ME37	XQ	BHN	01	2007/07/27,00:00:00	2009/12/31,00:00:00	40.285	-123.653999	501.0
ME37	XQ	BHZ	01	2007/07/27,00:00:00	2009/12/31,00:00:00	40.285	-123.653999	501.0
ME38	XQ	BHE	01	2007/09/19,00:00:00	2009/12/31,00:00:00	40.101002	-123.503197	275.0
ME38	XQ	BHN	01	2007/09/19,00:00:00	2009/12/31,00:00:00	40.101002	-123.503197	275.0
ME38	XQ	BHZ	01	2007/09/19,00:00:00	2009/12/31,00:00:00	40.101002	-123.503197	275.0
ME39	XQ	BHE	01	2007/09/26,00:00:00	2009/12/31,00:00:00	40.188202	-123.594299	341.0
ME39	XQ	BHN	01	2007/09/26,00:00:00	2009/12/31,00:00:00	40.188202	-123.594299	341.0
ME39	XQ	BHZ	01	2007/09/26,00:00:00	2009/12/31,00:00:00	40.188202	-123.594299	341.0
ME41	XQ	BHE	01	2007/09/12,00:00:00	2009/12/31,00:00:00	39.884998	-123.361	1017.0
ME41	XQ	BHN	01	2007/09/12,00:00:00	2009/12/31,00:00:00	39.884998	-123.361	1017.0
ME41	XQ	BHZ	01	2007/09/12,00:00:00	2009/12/31,00:00:00	39.884998	-123.361	1017.0
ME42	XQ	BHE	01	2007/09/15,00:00:00	2009/12/31,00:00:00	39.7145	-123.273003	633.0
ME42	XQ	BHN	01	2007/09/15,00:00:00	2009/12/31,00:00:00	39.7145	-123.273003	633.0
ME42	XQ	BHZ	01	2007/09/15,00:00:00	2009/12/31,00:00:00	39.7145	-123.273003	633.0
ME43	XQ	BHE	01	2007/09/16,00:00:00	2009/12/31,00:00:00	39.570301	-123.175003	1143.0
ME43	XQ	BHN	01	2007/09/16,00:00:00	2009/12/31,00:00:00	39.570301	-123.175003	1143.0
ME43	XQ	BHZ	01	2007/09/16,00:00:00	2009/12/31,00:00:00	39.570301	-123.175003	1143.0
ME44	XQ	BHE	01	2007/09/16,00:00:00	2009/12/31,00:00:00	39.492802	-123.186996	417.0
ME44	XQ	BHN	01	2007/09/16,00:00:00	2009/12/31,00:00:00	39.492802	-123.186996	417.0
ME44	XQ	BHZ	01	2007/09/16,00:00:00	2009/12/31,00:00:00	39.492802	-123.186996	417.0
ME45	XQ	BHE	01	2007/09/12,00:00:00	2009/12/31,00:00:00	39.466599	-122.959503	633.0
ME45	XQ	BHN	01	2007/09/12,00:00:00	2009/12/31,00:00:00	39.466599	-122.959503	633.0
ME45	XQ	BHZ	01	2007/09/12,00:00:00	2009/12/31,00:00:00	39.466599	-122.959503	633.0
