Stat	Net	Cha	Lo	Rate	Start time	End time	Lat	Lon	Elev	Depth	Dip	Azimuth
B003	PB	RCC	T6	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	130.7
B003	PB	RCC	T7	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	130.7
B003	PB	RCC	T8	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	130.7
B003	PB	RCD	T0	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	100.7
B003	PB	RCD	T1	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	100.7
B003	PB	RCD	T2	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	100.7
B003	PB	RCD	T3	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	100.7
B003	PB	RCD	T4	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	100.7
B003	PB	RCD	T5	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	100.7
B003	PB	RCD	T6	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	0.0	0.0	100.7
B003	PB	RCD	T7	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	0.0	0.0	100.7
B003	PB	RCD	T8	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	0.0	0.0	100.7
B003	PB	RDD	--	0.0033333	2006/01/03,00:00:00	2009/11/20,00:00:00	48.06236	-124.14086	284.7	50.3	0.0	0.0
B003	PB	RDO	TS	1.0000000	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	0.0	0.0	0.0
B003	PB	RE1	T0	0.0005556	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	0.0	0.0	0.0
B003	PB	RE2	T0	0.0005556	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	0.0	0.0	0.0
B003	PB	REO	T0	0.0005556	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	0.0	0.0	0.0
