Stat	Net	Cha	Lo	Rate	Start time	End time	Lat	Lon	Elev	Depth	Dip	Azimuth
BARR	BK	HHZ	0	100.0000000	2019/10/03,00:00:00	3000/01/01,00:00:00	39.30477	-123.19748	264.7	3.4	-90.0	0.0
BARR	BK	HNE	0	100.0000000	2019/10/03,00:00:00	3000/01/01,00:00:00	39.30477	-123.19748	264.7	3.3	0.0	90.0
BARR	BK	HNN	0	100.0000000	2019/10/03,00:00:00	3000/01/01,00:00:00	39.30477	-123.19748	264.7	3.3	0.0	0.0
BARR	BK	HNZ	0	100.0000000	2019/10/03,00:00:00	3000/01/01,00:00:00	39.30477	-123.19748	264.7	3.3	-90.0	0.0
BARR	BK	LEB	0	1.0000000	2019/10/03,00:00:00	3000/01/01,00:00:00	39.30477	-123.19748	264.7	0.0	0.0	0.0
BARR	BK	LED	0	1.0000000	2019/10/03,00:00:00	3000/01/01,00:00:00	39.30477	-123.19748	264.7	0.0	0.0	0.0
BARR	BK	LEO	0	1.0000000	2019/10/03,00:00:00	3000/01/01,00:00:00	39.30477	-123.19748	264.7	0.0	0.0	0.0
BARR	BK	LEP	0	1.0000000	2019/10/03,00:00:00	3000/01/01,00:00:00	39.30477	-123.19748	264.7	0.0	0.0	0.0
BARR	BK	LHE	0	1.0000000	2019/10/03,00:00:00	3000/01/01,00:00:00	39.30477	-123.19748	264.7	3.4	0.0	90.0
BARR	BK	LHN	0	1.0000000	2019/10/03,00:00:00	3000/01/01,00:00:00	39.30477	-123.19748	264.7	3.4	0.0	0.0
BARR	BK	LHZ	0	1.0000000	2019/10/03,00:00:00	3000/01/01,00:00:00	39.30477	-123.19748	264.7	3.4	-90.0	0.0
BARR	BK	LIO	0	1.0000000	2019/10/03,00:00:00	3000/01/01,00:00:00	39.30477	-123.19748	264.7	0.0	0.0	0.0
BARR	BK	LKO	0	1.0000000	2019/10/03,00:00:00	3000/01/01,00:00:00	39.30477	-123.19748	264.7	0.0	0.0	0.0
BARR	BK	LNE	0	1.0000000	2019/10/03,00:00:00	3000/01/01,00:00:00	39.30477	-123.19748	264.7	3.3	0.0	90.0
BARR	BK	LNN	0	1.0000000	2019/10/03,00:00:00	3000/01/01,00:00:00	39.30477	-123.19748	264.7	3.3	0.0	0.0
BARR	BK	LNZ	0	1.0000000	2019/10/03,00:00:00	3000/01/01,00:00:00	39.30477	-123.19748	264.7	3.3	-90.0	0.0
BARR	BK	LYV	0	1.0000000	2019/10/03,00:00:00	3000/01/01,00:00:00	39.30477	-123.19748	264.7	0.0	0.0	0.0
BARR	BK	VME	0	0.1000000	2019/10/03,00:00:00	3000/01/01,00:00:00	39.30477	-123.19748	264.7	3.4	0.0	90.0
BARR	BK	VMN	0	0.1000000	2019/10/03,00:00:00	3000/01/01,00:00:00	39.30477	-123.19748	264.7	3.4	0.0	0.0
BARR	BK	VMZ	0	0.1000000	2019/10/03,00:00:00	3000/01/01,00:00:00	39.30477	-123.19748	264.7	3.4	-90.0	0.0
BBEB	BK	BP1	--	20.0000000	2002/09/10,02:54:00	2007/11/20,01:30:00	37.82160	-122.32975	-213.7	182.9	-90.0	0.0
BBEB	BK	BP2	--	20.0000000	2002/09/10,02:54:00	2007/11/20,01:30:00	37.82160	-122.32975	-213.7	182.9	0.0	19.0
BBEB	BK	BP3	--	20.0000000	2002/09/10,02:54:00	2007/11/20,01:30:00	37.82160	-122.32975	-213.7	182.9	0.0	109.0
