ME43 ME44 ME45 ME52 ME46  
Threshhold: 8 
013 080322 1 414.775 0.10070 
013 080322 1 1607.950 0.12459 
013 080322 1 1875.150 0.15870 
013 080322 2 230.125 0.15143 
013 080322 2 1404.475 0.11112 
013 080322 2 1633.900 0.10835 
013 080322 2 2246.175 0.09485 
013 080322 3 2716.675 0.14071 
013 080322 4 117.425 0.09233 
013 080322 4 1889.950 0.11078 
013 080322 5 806.475 0.11117 
013 080322 5 1401.425 0.14586 
013 080322 5 2970.150 0.09585 
013 080322 9 2679.950 0.12740 
013 080322 12 332.375 0.18081 
013 080322 13 3309.700 0.09331 
013 080322 14 2139.150 0.12327 
013 080322 16 1926.075 0.11971 
013 080322 17 1703.425 0.09949 
013 080322 17 2970.925 0.10259 
013 080322 17 2980.625 0.10147 
013 080322 17 3382.975 0.12996 
013 080322 20 357.100 0.10728 
013 080322 20 398.300 0.11166 
013 080322 22 2545.275 0.10412 
013 080322 22 3271.250 0.10562 
013 080322 24 1374.950 0.10180 
013 080322 24 2130.300 0.29923 
013 080323 2 910.850 0.09543 
013 080323 4 751.000 0.11800 
013 080323 4 2361.675 0.09448 
013 080323 5 149.850 0.15860 
013 080323 5 3107.850 0.13291 
013 080323 8 2678.225 0.13462 
013 080323 14 646.750 0.09577 
013 080323 17 2774.125 0.18512 
013 080323 18 2533.425 0.13972 
013 080323 19 394.825 0.09569 
013 080323 19 1591.750 0.11529 
013 080323 19 2665.850 0.12281 
013 080323 20 967.050 0.11458 
013 080323 22 1506.425 0.10511 
013 080323 22 2027.425 0.13343 
013 080323 22 2441.450 0.18312 
013 080323 22 3508.125 0.09506 
013 080323 23 3572.250 0.11320 
013 080324 1 1247.725 0.12818 
013 080324 3 1145.125 0.12505 
013 080324 4 3029.450 0.13685 
013 080324 5 885.200 0.13688 
013 080324 5 1160.300 0.09667 
013 080324 5 1261.300 0.13995 
013 080324 5 1285.550 0.12189 
013 080324 5 1374.500 0.15226 
013 080324 5 1487.200 0.12820 
013 080324 5 2162.175 0.15866 
013 080324 5 2588.375 0.15527 
013 080324 5 2996.875 0.10278 
013 080324 5 3040.725 0.13584 
013 080324 6 101.550 0.10961 
013 080324 6 483.475 0.10753 
013 080324 6 1028.950 0.14843 
013 080324 6 1907.825 0.11268 
013 080324 6 2045.075 0.09950 
013 080324 6 2998.400 0.14382 
013 080324 6 3331.175 0.16458 
013 080324 6 3532.475 0.14033 
013 080324 7 882.875 0.18276 
013 080324 7 1975.075 0.10459 
013 080324 8 697.975 0.09812 
013 080324 8 2337.675 0.33880 
013 080324 9 2401.700 0.09669 
013 080324 10 2165.100 0.10567 
013 080324 12 380.950 0.16230 
013 080324 12 578.300 0.14017 
013 080324 12 1205.325 0.10809 
013 080324 12 3068.375 0.11136 
013 080324 12 3373.125 0.11689 
013 080324 13 1120.275 0.11033 
013 080324 14 819.275 0.13354 
013 080324 14 1820.325 0.11171 
013 080324 15 947.950 0.09867 
013 080324 15 1831.350 0.39685 
013 080324 15 3094.050 0.14989 
013 080324 17 864.325 0.12117 
013 080324 17 1381.250 0.11617 
013 080324 18 680.150 0.12895 
013 080324 18 2961.900 0.20932 
013 080324 19 2887.775 0.13540 
013 080324 20 532.400 0.12929 
013 080324 20 562.875 0.11885 
013 080324 20 1330.075 0.13006 
013 080324 20 3242.325 0.11850 
013 080324 22 688.000 0.10471 
013 080324 23 2576.625 0.09827 
013 080324 23 2818.450 0.10896 
013 080324 23 2885.275 0.13338 
013 080324 23 3292.850 0.10279 
013 080324 23 3581.725 0.10632 
013 080325 1 249.675 0.10065 
013 080325 2 15.675 0.13504 
013 080325 2 2356.525 0.10234 
013 080325 4 1011.300 0.13337 
013 080325 5 468.125 0.11318 
013 080325 5 2589.175 0.10534 
013 080325 8 1386.600 0.10347 
013 080325 8 2548.225 0.13207 
013 080325 11 535.075 0.11291 
013 080325 11 3236.975 0.18234 
013 080325 11 3597.300 0.13695 
013 080325 12 114.375 0.14502 
013 080325 13 250.550 0.12666 
013 080325 13 1589.675 0.16793 
013 080325 17 1829.075 0.10512 
013 080325 22 44.300 0.12678 
013 080325 23 3170.525 0.14729 
013 080325 24 2479.975 0.13055 
013 080326 3 1746.200 0.10765 
013 080326 3 1975.450 0.12049 
013 080326 3 3077.725 0.10944 
013 080326 3 3181.825 0.09961 
013 080326 4 1369.425 0.12983 
013 080326 6 227.200 0.09997 
013 080326 6 862.700 0.12276 
013 080326 7 2965.675 0.10563 
013 080326 8 3105.825 0.09553 
013 080326 8 3283.925 0.09777 
013 080326 10 640.275 0.09634 
013 080326 12 1044.750 0.09517 
013 080326 12 1573.900 0.10159 
013 080326 13 657.800 0.09859 
013 080326 14 2027.125 0.10205 
013 080326 15 191.900 0.11630 
013 080326 15 1973.050 0.10555 
013 080326 16 693.100 0.13109 
013 080326 16 2483.825 0.12795 
013 080326 16 3306.100 0.15053 
013 080326 20 1259.100 0.13322 
013 080326 23 2743.275 0.09829 
013 080327 1 677.150 0.13074 
013 080327 2 124.275 0.09759 
013 080327 4 2250.325 0.10197 
013 080327 5 334.175 0.09762 
013 080327 7 2969.200 0.10562 
013 080327 7 3192.275 0.11777 
013 080327 7 3474.375 0.08985 
013 080327 8 429.200 0.10107 
013 080327 10 150.325 0.11183 
013 080327 11 1006.725 0.18829 
013 080327 11 1062.000 0.09397 
013 080327 11 2885.425 0.10909 
013 080327 12 2450.700 0.12219 
013 080327 12 2664.925 0.13887 
013 080327 12 3209.900 0.09089 
013 080327 13 58.000 0.11637 
013 080327 13 639.350 0.12872 
013 080327 13 1179.500 0.10810 
013 080327 13 2633.425 0.09007 
013 080327 13 2905.200 0.09244 
013 080327 14 787.300 0.10379 
013 080327 14 1399.775 0.09247 
013 080327 16 2890.225 0.09988 
013 080327 16 3051.500 0.09489 
013 080327 16 3053.300 0.11780 
013 080327 16 3297.275 0.15508 
013 080327 17 2473.425 0.13191 
013 080327 19 3500.700 0.10469 
013 080327 20 1113.625 0.11224 
013 080327 21 2272.325 0.09133 
013 080327 22 634.300 0.09026 
013 080327 23 622.550 0.09925 
013 080327 24 68.175 0.11387 
013 080327 24 996.450 0.12051 
013 080327 24 2141.075 0.18114 
013 080328 3 1820.800 0.09551 
013 080328 4 436.100 0.10019 
013 080328 4 864.525 0.09479 
013 080328 5 1670.400 0.10092 
013 080328 5 3319.250 0.11755 
013 080328 6 2666.975 0.11655 
013 080328 7 1042.775 0.09922 
013 080328 8 1235.300 0.09516 
013 080328 8 1768.500 0.09658 
013 080328 11 800.750 0.11818 
013 080328 12 2242.950 0.10683 
013 080328 12 3305.275 0.12733 
013 080328 13 1732.775 0.11535 
013 080328 14 2504.650 0.10400 
013 080328 14 3310.525 0.12059 
013 080328 16 1704.250 0.13542 
013 080328 16 1804.550 0.09856 
013 080328 16 3321.525 0.11284 
013 080328 17 2897.950 0.19518 
013 080328 18 728.650 0.13672 
013 080328 18 903.350 0.09900 
013 080328 18 2234.625 0.11635 
013 080328 19 890.825 0.10859 
013 080328 20 1198.275 0.11672 
013 080328 22 1006.600 0.11654 
013 080328 23 139.825 0.09642 
013 080329 1 983.275 0.13400 
013 080329 1 3164.625 0.10834 
013 080329 4 2283.125 0.08707 
013 080329 4 2655.800 0.11779 
013 080329 5 3160.950 0.23028 
013 080329 6 175.075 0.08771 
013 080329 6 1658.900 0.09092 
013 080329 6 1660.075 0.10132 
013 080329 8 299.975 0.08836 
013 080329 8 2437.575 0.08352 
013 080329 8 3175.250 0.08306 
013 080329 8 3212.800 0.10832 
013 080329 8 3387.575 0.09749 
013 080329 8 3389.925 0.09602 
013 080329 8 3419.850 0.08650 
013 080329 9 907.500 0.10585 
013 080329 10 744.275 0.08435 
013 080329 11 1048.250 0.09113 
013 080329 13 1030.725 0.20369 
013 080329 13 1113.450 0.08947 
013 080329 13 1275.050 0.08402 
013 080329 13 1309.200 0.08803 
013 080329 13 1526.425 0.08848 
013 080329 13 1862.425 0.08875 
013 080329 14 524.425 0.08706 
013 080329 14 2016.450 0.15040 
013 080329 14 2351.525 0.17065 
013 080329 15 542.925 0.11790 
013 080329 15 2342.025 0.08309 
013 080329 16 639.125 0.09036 
013 080329 16 912.125 0.10587 
013 080329 16 2565.575 0.08917 
013 080329 17 1995.150 0.08559 
013 080329 18 3052.800 0.23238 
013 080329 19 212.700 0.10050 
013 080329 20 3361.500 0.08693 
013 080329 21 1275.175 0.11233 
013 080329 22 109.450 0.08325 
013 080329 22 2827.025 0.12093 
013 080329 23 231.575 0.10060 
013 080329 23 852.550 0.12874 
013 080329 23 1525.450 0.09082 
013 080329 24 766.500 0.12856 
013 080330 1 3148.800 0.09638 
013 080330 2 1067.475 0.10246 
013 080330 2 1595.575 0.08990 
013 080330 3 394.950 0.09288 
013 080330 3 974.575 0.10398 
013 080330 4 734.150 0.10551 
013 080330 5 2133.650 0.08902 
013 080330 6 264.850 0.09272 
013 080330 7 2245.650 0.08765 
013 080330 7 2931.300 0.09385 
013 080330 8 353.125 0.09745 
013 080330 8 749.525 0.08796 
013 080330 9 389.150 0.10825 
013 080330 11 2730.875 0.09720 
013 080330 13 1266.100 0.09924 
013 080330 15 2601.575 0.24154 
013 080330 16 415.375 0.09805 
013 080330 16 581.575 0.13590 
013 080330 16 1343.000 0.20743 
013 080330 18 769.550 0.13156 
013 080330 19 1915.950 0.08784 
013 080330 20 2315.925 0.08859 
013 080330 21 765.200 0.11231 
013 080330 21 2251.700 0.09893 
013 080330 21 2284.750 0.22287 
013 080330 22 110.750 0.17475 
013 080330 24 404.325 0.08604 
013 080331 1 3497.300 0.11091 
013 080331 2 576.400 0.15073 
013 080331 2 1119.675 0.17017 
013 080331 4 2053.075 0.09326 
013 080331 5 238.850 0.11563 
013 080331 5 3087.575 0.10297 
013 080331 6 2134.900 0.09321 
013 080331 7 290.025 0.09766 
013 080331 7 292.275 0.09662 
013 080331 8 1811.875 0.09646 
013 080331 9 506.300 0.11287 
013 080331 10 1523.875 0.13055 
013 080331 11 1903.875 0.11126 
013 080331 11 1905.800 0.09613 
013 080331 12 1346.275 0.09030 
013 080331 13  0.200 0.09236 
013 080331 14 1356.100 0.17912 
013 080331 14 1448.350 0.10963 
013 080331 14 2508.600 0.16013 
013 080331 14 3132.500 0.08894 
013 080331 15 396.950 0.09406 
013 080331 15 3215.125 0.12268 
013 080331 16 543.100 0.09197 
013 080331 16 3573.575 0.09195 
013 080331 18 1031.450 0.14357 
013 080331 18 3490.700 0.17515 
013 080331 19 1715.375 0.09611 
013 080331 20 2434.300 0.10158 
013 080331 20 3118.250 0.10803 
013 080331 23 452.725 0.09970 
013 080331 24 236.325 0.12227 
013 080401 1 3366.375 0.09335 
013 080401 2 2777.300 0.09784 
013 080401 3 2081.275 0.12322 
013 080401 5 2808.700 0.11047 
013 080401 7 1499.325 0.09584 
013 080401 9 379.525 0.09642 
013 080401 12 1249.700 0.11890 
013 080401 12 3031.100 0.10191 
013 080401 13 2500.375 0.12173 
013 080401 14 2824.525 0.13571 
013 080401 14 3026.950 0.85865 
013 080401 14 3071.075 0.34322 
013 080401 18 2025.850 0.09410 
013 080401 19 501.975 0.12496 
013 080401 19 787.025 0.09842 
013 080401 20 766.700 0.10190 
013 080401 21 3320.100 0.09718 
013 080401 22 1470.825 0.10936 
013 080401 24 23.500 0.48111 
013 080403 1 434.775 0.12141 
013 080403 1 2735.325 0.10667 
013 080403 2 760.900 0.13002 
013 080403 2 2861.275 0.10369 
013 080403 4 2385.575 0.10291 
013 080403 7 449.600 0.10726 
013 080403 11 692.425 0.11424 
013 080403 14 3495.850 0.16159 
013 080403 18 2916.200 0.09954 
013 080403 21 850.925 0.10194 
013 080403 21 2069.200 0.11047 
013 080403 22 1459.750 0.17186 
013 080403 23 3089.625 0.14622 
013 080403 24 398.500 0.09894 
013 080404 5 2850.000 0.11589 
013 080404 7 191.850 0.09838 
013 080404 7 390.350 0.09711 
013 080404 7 916.925 0.10289 
013 080404 7 1831.650 0.11588 
013 080404 7 2555.650 0.12925 
013 080404 8 2252.575 0.10065 
013 080404 9 2547.850 0.13970 
013 080404 9 2549.875 0.11218 
013 080404 11 927.100 0.10835 
013 080404 11 1564.125 0.18887 
013 080404 11 3245.550 0.15496 
013 080404 11 3303.225 0.10976 
013 080404 13 2916.250 0.11257 
013 080404 18 720.000 1.00000 
013 080404 18 2045.700 0.84606 
013 080404 18 2773.325 0.17279 
013 080404 23 3136.300 0.27435 
013 080404 24 2068.400 0.82792 
013 080404 24 2188.675 0.44215 
013 080404 24 2211.275 0.13155 
013 080404 24 2843.325 0.10564 
013 080405 1 149.675 0.10328 
013 080405 1 1688.675 0.11622 
013 080405 3 2106.350 0.09423 
013 080405 4 2192.875 0.10140 
013 080405 5 309.700 0.14814 
013 080405 5 1801.350 0.16799 
013 080405 6 950.075 0.13640 
013 080405 8 430.825 0.09917 
013 080405 8 834.200 0.09553 
013 080405 8 1784.075 0.10697 
013 080405 9 2876.200 0.10618 
013 080405 9 3033.950 0.09802 
013 080405 10 1051.225 0.09743 
013 080405 12 366.525 0.09442 
013 080405 13 942.400 0.10673 
013 080405 13 1208.725 0.09896 
013 080405 13 2234.850 0.13790 
013 080405 15 3014.575 0.24371 
013 080405 16 86.775 0.09991 
013 080405 17 2892.700 0.09903 
013 080405 18 3505.400 0.15600 
013 080405 24 1188.225 0.11956 
013 080405 24 3286.175 0.10054 
013 080406 3 2456.725 0.10934 
013 080406 4 1316.700 0.13469 
013 080406 4 1396.175 0.22018 
013 080406 4 1456.250 0.15306 
013 080406 8 2359.000 0.12748 
013 080406 10 2900.275 0.18983 
013 080406 11 951.300 0.11667 
013 080406 11 1318.900 0.12593 
013 080406 13 53.550 0.09709 
013 080406 13 2875.650 0.10408 
013 080406 18 2904.925 0.10711 
013 080406 20 3128.050 0.21068 
013 080407 2 3215.025 0.10126 
013 080407 3 3124.475 0.12426 
013 080407 4 1217.825 0.10509 
013 080407 7 597.950 0.10500 
013 080407 11 390.875 0.14024 
013 080407 12 42.250 0.11775 
013 080407 13 983.900 0.12426 
013 080407 16 191.575 0.10594 
013 080407 19 73.625 0.09508 
013 080407 19 522.200 0.10833 
013 080407 21 3096.900 0.10915 
013 080407 22 1907.600 0.09876 
013 080407 23 3307.325 0.09717 
013 080408 2 1674.450 0.22696 
013 080408 2 3511.750 0.14640 
013 080408 6 1369.625 0.09774 
013 080408 6 1370.650 0.12890 
013 080408 7 2959.475 0.10114 
013 080408 11 2795.875 0.16997 
013 080408 11 2969.600 0.09810 
013 080408 13 2541.075 0.09705 
013 080408 13 3397.100 0.11108 
013 080408 18 1771.425 0.12285 
013 080408 22 2906.325 0.10963 
013 080408 24 1385.225 0.13121 
013 080408 24 2771.500 0.10123 
013 080409 1 3385.975 0.10257 
013 080409 3 653.775 0.19715 
013 080409 5 2003.125 0.13511 
013 080409 7 1945.725 0.11021 
013 080409 8 2624.650 0.10317 
013 080409 10 220.775 0.55272 
013 080409 10 2278.825 0.11151 
013 080409 10 2311.775 0.13851 
013 080409 10 2557.975 0.10010 
013 080409 11 3332.675 0.13159 
013 080409 12 654.900 0.10776 
013 080409 12 887.500 0.10309 
013 080409 12 3346.500 0.10516 
013 080409 13 1296.450 0.10334 
013 080409 14 740.575 0.45651 
013 080409 22 1780.625 0.21762 
013 080410 1 3455.550 0.10083 
013 080410 2 2773.250 0.11649 
013 080410 5 746.350 0.09766 
013 080410 7 837.325 0.71905 
013 080410 7 1436.125 0.12697 
013 080410 9 1171.275 0.09188 
013 080410 11 3543.475 0.11257 
013 080410 12 2155.225 0.12282 
013 080410 13 61.500 0.09430 
013 080410 13 1907.850 0.09438 
013 080410 18 539.025 0.09451 
013 080410 19 114.725 0.09249 
013 080410 19 817.900 0.09577 
013 080410 22 2473.200 0.09316 
013 080410 23 738.400 0.09735 
013 080410 24 522.975 0.10867 
013 080411 1 1772.975 0.09101 
013 080411 2 554.350 0.10937 
013 080411 2 2719.850 0.15693 
013 080411 4 331.950 0.09886 
